0-15(%),% Couple household with dependent children,Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above
2.638762511,2.920723227,67.83018868,3.269447576,78.2
36.83351469,35.3046595,95.87628866,8.066759388,20.8
34.9519474,27.70491803,95.3125,9.724047306,24.7
29.81927711,27.54919499,96.54576857,8.774193548,30.9
36.54390935,32.71375465,98.35466179,13.9941691,22.6
41.61451815,39.71962617,98.16513761,9.404990403,16.1
19.12751678,11.07594937,97.83281734,10.34946237,31.5
21.15768463,13.3126935,93.08357349,13.51351351,19.4
21.04,10.28571429,92.26713533,12.7806563,26.1
19.30773391,11.71052632,78.02874743,16.08910891,26.3
36.21997472,34.63917526,97.38955823,8.112324493,34.3
26.42967543,21.65605096,94.01197605,9.191176471,30.6
33.63874346,32.54310345,97.07112971,6.666666667,32.1
26.35658915,17.89321789,96.51810585,11.80400891,33.5
31.95876289,27.36156352,93.74045802,10.9375,32.3
36.56364589,28.79581152,98.62306368,11.15646259,28.4
29.550479,19.82758621,99.57081545,14.03225806,24.3
31.80964308,23.01710731,98.92307692,11.18210863,24.2
34.14634146,24.48979592,97.46835443,14.48763251,21.2
34.25287356,25.2991453,97.98994975,10.65088757,21.3
21.45061728,19.07600596,96.68587896,7.31261426,43.7
16.53898152,13.36734694,97.80439122,6.0626703,52.7
33.28125,30.01745201,95.02487562,6.014150943,36.8
16,13.07371349,97.16216216,7.4204947,51.1
15.99749059,12.83987915,97.20998532,10.04926108,48.2
8.705526117,7.875185736,95.73257468,5.888125613,64.9
14.87101669,8.056872038,98.29192547,6.798516687,48.5
22.17675941,17.79859485,98.38709677,7.355242567,46.9
8.953553442,8.616504854,95.81395349,3.355704698,68.2
15.80333626,12.80991736,95.84158416,7.525083612,38.5
10.59907834,10.82802548,97.03337454,3.935185185,65.9
18.39779006,13.68821293,97.64851485,6.35226179,47.6
30.52884615,22.61904762,98,8.702290076,34.2
24.79871176,21.55771905,98.49315068,5.506391347,55.4
17.91720569,12.18487395,98.89196676,8.476517755,50.7
20.53691275,22.5375626,98.19672131,3.520352035,61.8
15.50580431,14.70588235,98.64603482,6.944444444,55.2
20.40133779,23.13218391,97.34265734,5.282005372,62.5
12.88014311,11.81208054,97.00520833,5.375347544,51.7
14.26806671,12.61682243,96.54135338,7.858546169,51.2
18.72037915,15.22988506,94.95225102,10.07345226,43.2
25.33488643,13.43490305,94.01041667,18.41397849,24.1
19.52588896,14.8089172,96.61538462,10.42600897,45.8
19.79286536,13.39285714,96.55172414,13.94009217,34
16.59574468,8.16,97.35202492,10.88607595,42.4
18.64784547,10.98169717,97.72357724,11.76470588,48.2
19.60674157,15.16129032,97.63779528,9.761388286,41.6
17.62611276,14.63414634,97.32937685,10.57225994,47.7
16.39601886,16.15853659,97.47399703,9.056956116,42.6
17.21311475,13.66024518,97.60683761,12.81767956,50.9
16.27200971,10.85481682,96.46596859,10.53658537,45
18.59903382,17.39745403,96.58469945,6.673306773,55.9
17.86102063,17.5066313,95.2020202,6.349206349,59.7
17.2923777,15.15923567,97.51552795,6.339285714,54.7
16.36363636,16.14699332,96.04278075,6.160781367,58.4
28.43835616,15.76011158,98.35390947,15.2309613,23.9
27.62743864,13.69426752,98.8976378,17.37649063,19.6
27.30720607,12.98507463,99.11242604,17.06924316,25.5
30.08190618,17.4796748,98.4,16.89655172,25.8
23.18007663,11.21794872,98.42271293,13.02578019,33.2
12.26017782,9.01378579,97.41735537,8.008817046,48.8
13.39285714,7.939914163,98.10526316,10.47027507,39.7
18.2454503,11.9226638,98,9.278350515,49.7
