0-15(%),65+(%),% Couple household with dependent children,White (%),Private rented (%),Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above,Median Annual Household Income estimate (?),fire,Population density
18.35518474,10.90584029,14.77541371,71.21573302,38.1,94,6.815869786,63.2,44502.7429,6,201.4405762
14.20765027,11.81693989,12.44870041,78.07377049,38.2,94.93506494,3.720405862,63.9,53277.77804,9,124.0677966
24.98334444,14.12391739,17.20779221,58.69420386,14.1,96.09984399,9.465648855,42.4,34028.27331,5,181.4993954
25.38552788,11.20996441,20.23633678,59.25266904,25.6,94.28969359,8.662420382,46.1,35289.37493,14,171.1675127
13.4027326,8.197787899,10.59972106,73.64996747,34.7,95.6,5.813953488,55.5,38956.74716,5,157.4795082
9.102990033,7.574750831,12.86031042,74.28571429,27.7,94.54926625,4.76858345,45.5,47903.5347,4,138.4544618
19.0920398,9.514925373,8.888888889,59.26616915,33.8,97.6845152,6.994818653,41.8,26791.5842,6,198.7639061
27.25381415,6.171983356,15.75342466,47.64216366,12.7,98.81556684,12.85714286,33.7,24521.16569,8,172.2819594
14.4549763,8.957345972,10.65149948,72.46445498,39.1,93.42995169,6.140350877,54.7,34563.24912,14,184.279476
13.5678392,5.778894472,16.10738255,74.68592965,47.7,96.37774903,4.42086649,71.9,57953.80097,5,167.0514166
16.99429296,10.65313887,14.44600281,74.63538364,33.4,98.34482759,5.691964286,60.3,45755.49039,7,124.9603803
13.60052562,9.198423127,10.60209424,71.35348226,38.9,97.32484076,3.008298755,65,44410.43667,6,141.5813953
14.28571429,9.325396825,17.48148148,83.86243386,42.1,96.0170697,1.962708538,74.1,63942.92568,4,115.9509202
11.22923588,9.568106312,10,74.55149502,41.6,96.81528662,3.849950642,67.4,46074.95373,2,184.6625767
16.91093574,10.93573844,14.03091558,61.16121759,45.9,97.90454016,6.653426018,58.1,41451.39835,5,156.1619718
22.81583909,12.25644249,17.02453988,53.67693275,27.5,97.45889387,10.18387553,43.8,30384.69343,7,133.2495812
15.44461778,17.10868435,17.39130435,51.74206968,47.7,84.59244533,4.241071429,54.1,52917.83457,3,99.79242346
18.45280341,16.60752307,19.22455574,75.58552165,30.2,89.71014493,3.491620112,56,60567.70597,3,37.86616501
17.00069109,14.44367657,15.74344023,80.7878369,30.8,94.62068966,2.996254682,58.6,47796.75878,5,178.2019704
19.23696937,7.522837184,12.90322581,57.81837722,22.5,96.63341646,9.734513274,35.5,27281.6254,12,85.40614961
15.06935687,12.10592686,14.86988848,86.8852459,38.2,90.06696429,3.965183752,69,61120.45036,3,164.0124095
12.47130834,23.10635042,8.908406524,82.86151492,24.1,92.89044289,4.512372635,58.6,44797.32866,2,63.47741622
14.42757009,14.36915888,14.09313725,82.00934579,32.8,88.59934853,2.938388626,68.9,62467.60929,14,100.7058824
21.33738602,6.626139818,14.8089172,57.14285714,28.8,97.97191888,11.91895113,38.4,27044.04072,17,138.5846672
12.07115629,7.623888183,7.133058985,69.50444727,39.4,94.921875,7.439824945,48.3,30134.93699,5,138.0701754
17.00404858,7.287449393,10.98039216,61.13360324,32.4,97.95134443,8.845738943,41.8,28623.84037,8,148.1576692
17.71201413,4.902826855,9.580838323,53.97526502,29,98.00469484,8.416289593,37.7,27133.03542,8,93.47646573
17.60479042,12.75449102,12.89398281,55.56886228,18.3,99.14772727,9.343065693,26.1,22347.06347,7,228.1420765
24.7761194,10.50746269,17.51824818,53.43283582,20,97.30113636,12.19512195,31.4,26403.29059,9,171.2678937
16.96335079,16.85863874,7.899628253,58.37696335,35.7,88.77887789,9.320175439,39.9,24060.84026,11,164.3717728
10.71214841,10.35308199,8.891595615,73.01017355,45.8,95.91121495,6.523681859,58.3,37277.52357,7,153.3027523
19.08585547,14.70043237,13.93442623,51.57504632,27.3,97.47003995,11.25827815,36.5,25032.97205,5,185.8783008
26.00706714,7.349823322,15.22435897,52.29681979,17.8,99.20508744,10.35502959,35.1,25246.64354,9,227.8582931
9.790681972,7.629979743,8.095952024,76.56988521,52.9,92.25449516,6.504065041,55.4,40814.55263,3,91.75960347
14.11609499,13.45646438,10.06993007,64.64379947,33.3,83.82180539,4.761904762,49.8,38674.96511,7,30.98303699
9.672466735,6.090071648,7.347876005,63.71545548,48.3,92.16931217,7.869142352,49.4,29657.16507,10,125.2564103
14.28571429,14.11290323,10.52009456,73.96313364,30.7,93.06930693,4.607329843,51.4,40747.54049,8,88.30111902
18.85482938,10.81550029,12.88888889,51.18565645,21.9,98.54014599,10.13333333,26.7,24012.38892,7,198.7356322
17.89409617,13.93791844,11.01694915,46.80462568,15.4,98.74476987,9.077380952,25.1,23026.66297,11,27.23806366
27.89855072,9.782608696,17.60124611,44.14251208,10,98.61751152,13.41853035,18.3,21565.67363,12,298.3783784
21.44200627,11.34796238,15.67732116,51.53605016,8.5,98.79699248,10.37891269,22.5,22567.12779,8,249.6087637
22.51958225,5.744125326,14.63815789,41.18798956,27,94.55676516,10.88235294,32.9,25463.50356,9,96.47355164
14.32332807,6.793048973,11.09445277,48.23591364,30.3,97.65739385,11.78247734,20.2,23637.39403,6,325.1712329
14.71718836,5.985722131,8.83797054,46.84239429,39.3,94.8757764,6.815203145,32.1,27235.79333,6,67.1460177
19.044703,12.12492345,14.34370771,59.82853644,10.7,98.2712766,8.4643289,30.6,29196.29383,12,262.5401929
23.13067785,7.966457023,17.81818182,39.69252271,17.5,98.56630824,13.37907376,22.3,20176.21386,6,210.7511046
20.80624187,12.09362809,15.09121061,46.35890767,16.9,98.20846906,13.49072513,27.8,21726.69748,9,319.0871369
17.07449701,6.03588907,11.00746269,48.93964111,25.7,96.22980251,10.20979021,42.3,28381.55869,4,207.0945946
20.66210046,4.965753425,5.834464043,46.11872146,39.1,95.83875163,10.50884956,39.1,26280.65178,5,214.7058824
22.56745707,9.484873262,15.91928251,33.44235487,20.4,98.89135255,13.68421053,23.8,23517.21159,10,155.5979644
16.90265487,11.59292035,11.98501873,51.32743363,22.3,93.19371728,12.20556745,46,28095.17846,11,232.0328542
15.20539546,19.43592888,6.30952381,59.65665236,17.7,97.22222222,13.36971351,37.5,28846.23856,16,278.3276451
9.507978723,5.45212766,5.976095618,52.32712766,51.4,89.32384342,7.333333333,47.8,28092.17855,4,119.8406375
18.69918699,10.56910569,12.02872531,47.4796748,11.1,99.11032028,12.11573237,28.1,23406.64676,18,283.4101382
4.973945997,5.44765514,4.956268222,60.44528659,43.6,90.14454665,4.287515763,34.7,32027.5735,3,289.1780822
9.203036053,7.400379507,5.872483221,63.66223909,45.3,86.75400291,7.581227437,56.7,31577.98324,4,150.5714286
4.840613932,8.323494687,6.024096386,63.93152302,52.9,89.8511502,3.134479272,57.8,44181.11389,7,86.73835125
5.707091901,4.616030214,4.181184669,61.89676878,54.1,89.03826267,3.932082216,38.8,37264.89185,10,178.5018727
2.709514808,9.829867675,3.52,58.79017013,47.5,78.6163522,4.181184669,39.8,32649.50678,8,127.3675762
11.83851609,7.910529187,6.128133705,41.73486088,38,94.59815547,6.533333333,40.8,29258.48567,6,97.13831479
19.18795023,11.32940406,12.28346457,49.63981663,21.7,97.39263804,10.25974026,37.5,28526.9629,3,206.0728745
13.1403118,8.184855234,7.832009081,62.58351893,30.6,93.32627119,5.667627281,52.4,34000.55303,5,121.928038
21.08050847,8.951271186,11.82913472,51.58898305,13.9,97.02444208,14.00462963,33.4,24971.98357,3,249.7354497
12.5385406,9.14696814,9.513742072,68.44809866,40.5,94.03578529,5.731394354,53.3,37883.21612,7,143.7223043
2.891156463,12.58503401,2.340234023,71.54195011,42.2,85.52732871,4.491525424,64.5,35286.07652,8,55.03900156
7.718501703,11.12372304,4.742268041,67.93416572,46.4,87.7034358,5.024630542,57.5,38252.79976,12,39.35671208
9.76076555,10.71770335,7.486631016,62.58373206,30.8,91.66666667,7.55048288,46.3,34646.72636,4,124.2568371
8.142999007,7.100297915,4.076738609,56.90168818,37.4,90.35752979,4.722222222,40.8,35740.26849,14,131.8062827
7.849829352,18.29351536,7.648401826,84.50511945,30.1,86.56126482,3.526970954,77.6,58347.31902,2,112.8659476
9.95821727,18.73259053,10.36144578,88.71866295,26.4,85.04098361,1.727861771,79.2,57159.49648,4,62.87215412
7.726597325,18.87072808,6.242350061,78.38038633,21.7,92.10822999,4.744525547,56.8,34386.5557,4,227.749577
16.64974619,12.89340102,13.0620985,51.37055838,21.6,88.4469697,8.679245283,34.5,23999.84995,5,51.95147679
6.22605364,3.639846743,2.958579882,77.87356322,57.2,63.3552015,2.728351127,73.6,53017.03757,3,6.313497823
2.638762511,7.188353048,2.920723227,83.0755232,59.1,67.83018868,3.269447576,78.2,52427.11188,7,17.24462576
36.83351469,5.168661589,35.3046595,79.48857454,60,95.87628866,8.066759388,20.8,36363.59336,7,144.7244094
34.9519474,8.598887203,27.70491803,67.9312089,41,95.3125,9.724047306,24.7,33866.96591,8,173.2690622
29.81927711,6.325301205,27.54919499,64.27710843,37.4,96.54576857,8.774193548,30.9,32963.51731,8,145.6140351
36.54390935,4.985835694,32.71375465,61.58640227,29.6,98.35466179,13.9941691,22.6,32451.92634,4,117.0424403
41.61451815,5.569461827,39.71962617,81.35168961,48.8,98.16513761,9.404990403,16.1,40094.72658,9,150.4708098
19.12751678,7.919463087,11.07594937,49.66442953,19.6,97.83281734,10.34946237,31.5,25991.59528,4,99.06914894
21.15768463,11.04457751,13.3126935,43.11377246,16.6,93.08357349,13.51351351,19.4,21530.40932,1,177.240566
21.04,8.4,10.28571429,41.28,20.6,92.26713533,12.7806563,26.1,21184.03723,9,127.8118609
19.30773391,8.599242834,11.71052632,39.96755003,17.9,78.02874743,16.08910891,26.3,21621.00105,11,74.07852564
36.21997472,5.815423515,34.63917526,75.34766119,43.5,97.38955823,8.112324493,34.3,41560.82608,4,149.245283
26.42967543,11.4374034,21.65605096,65.76506955,24.4,94.01197605,9.191176471,30.6,30118.87364,3,123.4732824
33.63874346,8.376963351,32.54310345,72.64397906,39,97.07112971,6.666666667,32.1,37894.11805,10,137.9061372
26.35658915,6.478405316,17.89321789,60.96345515,33.2,96.51810585,11.80400891,33.5,32042.17418,13,154.0955631
31.95876289,6.815578465,27.36156352,69.12943872,30.3,93.74045802,10.9375,32.3,31591.21138,22,70.68825911
36.56364589,5.343111577,28.79581152,61.49816658,39.4,98.62306368,11.15646259,28.4,36415.488,10,202.010582
29.550479,4.86366986,19.82758621,41.26750184,24.8,99.57081545,14.03225806,24.3,25801.6353,6,267.65286
31.80964308,6.88791484,23.01710731,59.73700689,26.3,98.92307692,11.18210863,24.2,26798.98607,11,188.3254717
34.14634146,7.976268952,24.48979592,56.88859591,25.2,97.46835443,14.48763251,21.2,27054.24539,7,70.32916087
34.25287356,7.24137931,25.2991453,61.32183908,35,97.98994975,10.65088757,21.3,28359.35582,3,154.2553191
21.45061728,5.709876543,19.07600596,59.31069959,44.3,96.68587896,7.31261426,43.7,41001.95871,12,164.4670051
16.53898152,4.191077062,13.36734694,63.58720144,46,97.80439122,6.0626703,52.7,35605.06235,5,190.472103
33.28125,5.416666667,30.01745201,62.76041667,40.5,95.02487562,6.014150943,36.8,41946.3319,10,179.9437676
16,6.191780822,13.07371349,56.82191781,36.3,97.16216216,7.4204947,51.1,39933.63188,8,179.4493609
15.99749059,5.834378921,12.83987915,53.70138018,31.1,97.20998532,10.04926108,48.2,38626.62957,3,129.0688259
8.705526117,3.179409538,7.875185736,70.47691143,55.3,95.73257468,5.888125613,64.9,44117.94247,3,172.6797386
14.87101669,5.918057663,8.056872038,56.676783,37.6,98.29192547,6.798516687,48.5,29877.18322,1,164.1344956
22.17675941,5.073649755,17.79859485,58.9198036,23,98.38709677,7.355242567,46.9,40447.57306,5,125.0767656
8.953553442,3.917179631,8.616504854,75.32176833,55.6,95.81395349,3.355704698,68.2,51575.13024,10,171.9923003
15.80333626,13.87181738,12.80991736,51.97541703,21.7,95.84158416,7.525083612,38.5,28548.46342,6,179.0880503
10.59907834,5.184331797,10.82802548,75.51843318,50.1,97.03337454,3.935185185,65.9,50910.98445,3,172.3932473
18.39779006,7.016574586,13.68821293,55.5801105,18.8,97.64851485,6.35226179,47.6,35330.33746,12,144.6842526
30.52884615,12.68028846,22.61904762,71.99519231,21.3,98,8.702290076,34.2,33055.60374,11,112.5845737
24.79871176,7.192699946,21.55771905,75.68438003,36,98.49315068,5.506391347,55.4,47090.91347,8,113.597561
17.91720569,9.314359638,12.18487395,63.7774903,21.8,98.89196676,8.476517755,50.7,36784.55146,8,47.4524248
20.53691275,6.308724832,22.5375626,72.68456376,25.9,98.19672131,3.520352035,61.8,54377.95106,11,171.4614499
15.50580431,5.638474295,14.70588235,69.2371476,45.1,98.64603482,6.944444444,55.2,42572.22404,9,81.81818182
20.40133779,6.18729097,23.13218391,77.31326644,28.6,97.34265734,5.282005372,62.5,57682.51557,2,160.7526882
12.88014311,9.063804413,11.81208054,62.96958855,42.6,97.00520833,5.375347544,51.7,39216.46853,8,151.4905149
14.26806671,6.856084002,12.61682243,56.39283508,36.4,96.54135338,7.858546169,51.2,38735.92252,5,158.7254902
18.72037915,6.575829384,15.22988506,49.0521327,25,94.95225102,10.07345226,43.2,30467.63749,7,160.6089439
25.33488643,10.19219569,13.43490305,31.15899825,8.9,94.01041667,18.41397849,24.1,22781.69234,10,136.5950676
19.52588896,6.487835309,14.8089172,51.77791641,34.7,96.61538462,10.42600897,45.8,33605.13186,7,151.3692162
19.79286536,8.803222094,13.39285714,40.44879171,22.4,96.55172414,13.94009217,34,25906.93639,8,134.2084942
16.59574468,8.368794326,8.16,52.41134752,43,97.35202492,10.88607595,42.4,27000.30047,11,215.5963303
18.64784547,5.052005944,10.98169717,52.82317979,37.3,97.72357724,11.76470588,48.2,29700.9626,11,51.43293848
19.60674157,9.101123596,15.16129032,45.50561798,22.6,97.63779528,9.761388286,41.6,32766.67378,5,101.5402168
17.62611276,7.359050445,14.63414634,51.39465875,30.9,97.32937685,10.57225994,47.7,34428.781,6,105.2467208
16.39601886,12.57202724,16.15853659,53.90256679,31.9,97.47399703,9.056956116,42.6,40166.89345,8,149.7254902
17.21311475,6.830601093,13.66024518,57.17213115,41.7,97.60683761,12.81767956,50.9,36561.47942,3,144.2364532
16.27200971,4.796599879,10.85481682,49.90892532,42.2,96.46596859,10.53658537,45,29969.15126,13,179.4117647
18.59903382,5.253623188,17.39745403,66.60628019,31.8,96.58469945,6.673306773,55.9,45622.96871,10,184.6153846
17.86102063,5.5917481,17.5066313,69.54397394,27.2,95.2020202,6.349206349,59.7,51068.95513,7,183.8323353
17.2923777,6.200227531,15.15923567,73.03754266,33.4,97.51552795,6.339285714,54.7,43759.69585,7,192.974753
16.36363636,7.129186603,16.14699332,75.31100478,27.1,96.04278075,6.160781367,58.4,48840.09473,10,171.3114754
28.43835616,7.287671233,15.76011158,26.84931507,11.7,98.35390947,15.2309613,23.9,23791.72585,14,16.13901663
27.62743864,15.16677155,13.69426752,38.01132788,8.9,98.8976378,17.37649063,19.6,22273.17177,5,71.47998201
27.30720607,10.99873578,12.98507463,34.13400759,16,99.11242604,17.06924316,25.5,23434.73414,13,138.1659389
30.08190618,5.733432614,17.4796748,24.2740134,14.2,98.4,16.89655172,25.8,22805.33722,2,243.738657
23.18007663,8.939974457,11.21794872,40.93231162,14.3,98.42271293,13.02578019,33.2,25345.64644,13,181.0404624
12.26017782,7.861488067,9.01378579,60.87973795,41.4,97.41735537,8.008817046,48.8,34800.49268,12,150.1756852
13.39285714,10.97689076,7.939914163,51.10294118,26.6,98.10526316,10.47027507,39.7,28306.06346,10,184.496124
18.2454503,5.226318245,11.9226638,53.0564629,28.8,98,9.278350515,49.7,32918.36653,10,184.5822567
16.46430306,4.662457504,13.57308585,59.34919864,39.9,98.28962372,7.393577296,57.2,37766.24034,7,216.508938
15.05204163,6.885508407,16.35610766,63.65092074,25.7,97.18309859,6.090133983,57.9,46214.42371,7,170.6284153
19.59385291,6.750823271,16.40513552,57.18990121,33.2,98.04195804,8.988764045,46.6,34149.69032,9,125.395733
19.04441454,11.03633917,13.00527241,51.41318977,22.1,97.09897611,11.08247423,40.5,29861.88264,4,164.01766
20.70155262,7.53306498,18.11145511,53.01897642,23.8,98.02731411,9.680741504,44.5,35045.61944,10,179.8345398
26.01043025,6.779661017,15.8,37.09256845,13.8,99.00990099,14.58333333,31.5,28238.1869,2,147.3583093
21.43174744,4.846598488,12.21294363,44.24188528,27.2,98.7628866,11.42625608,39.2,26487.38185,11,200.4456328
30.6763285,4.710144928,18.19620253,33.6352657,9.2,99.37106918,15.55252387,27.9,25123.58177,2,337.2708758
24.46126966,5.59114735,15.59633028,23.35468841,14.7,98.34586466,13.50407451,29,24744.68489,11,344.7791165
22.66411116,7.043603258,13.91402715,39.0033541,23.1,97.03622393,11.85807656,37.8,26405.36001,7,167.0936749
16.85144124,8.592017738,9.066666667,49.27937916,24.4,97.65625,11.54210028,44.4,30211.64434,11,174.9757517
13.94041596,10.06183249,7.594936709,51.32096684,21.4,97.31243001,10.10794897,40.5,28031.38792,36,165.9514925
20.47826087,4.652173913,10.74540174,47.08695652,27.7,96.09302326,11.90295679,43.2,27518.35115,21,132.6412918
15.32125206,7.742998353,9.305064782,55.18945634,46.2,98.15028902,11.29744042,47,30079.93241,8,135.5919583
15.336374,8.380843786,9.673202614,49.54389966,40,97.57653061,11.56336725,40.3,29351.35091,19,121.6366158
12.23796034,5.66572238,9.024390244,64.07932011,39.8,97.04142012,8.121827411,53.3,35300.43903,17,124.0337316
20.23026316,13.24013158,10.65420561,42.76315789,15.5,98.70848708,13.55060034,27,26209.98665,4,22.41474654
21.16917626,7.528786537,14.13276231,48.62710363,22.7,97.29166667,13.23024055,30,25625.41613,7,106.9128788
21.28174123,11.24546554,12.21374046,55.01813785,20.3,98.05389222,10.34047919,38.2,29023.23429,4,109.1029024
21.91201354,4.187817259,11.56601842,47.63113367,34.1,98.09236948,11.04294479,41.1,28380.65006,6,47.69013516
25.18555171,4.948045522,15.06373117,33.49826818,16.6,98.62857143,15.625,30.7,23759.58313,17,158.3855799
26.44456012,7.652264446,13.73283396,36.64757939,14.7,97.92176039,16.92307692,23.6,22693.23771,10,146.9778118
26.18075802,7.288629738,13.36206897,34.75218659,12.5,99.28673324,18.21515892,26.9,23028.38843,5,265.0695518
20.34313725,10.53921569,14.06959153,56.67892157,17.9,96.77891654,8.468677494,42.5,30975.15983,9,122.3388306
28.12142039,8.075601375,13.90070922,32.3024055,7.4,99.43582511,22.57181943,22.9,21811.78581,6,253.4107402
